전기차 충전 요금(2025-08-12),,,,,
,,,,,
순번,기관명,구분,회원가,비회원가,최종수정일자
1,환경부,100kW급 이상,347.2,347.2,2023-11-15
2,환경부,100kW급 미만,324.4,324.4,2023-11-15
3,GS차지비,급속,335,470,2023-11-15
4,GS차지비,완속,269,470,2023-11-15
5,GS칼텍스,급속,347,448,2024-07-22
6,KH에너지,급속,347,347,2024-10-21
7,LG유플러스 볼트업,급속,350,450,2025-02-28
8,LG유플러스 볼트업,완속,295,450,2025-02-28
9,LG유플러스 볼트업(플러그인),급속,350,450,2025-02-28
10,LG유플러스 볼트업(플러그인),완속,295,450,2025-02-28
11,NICE인프라,급속,350,350,2025-01-21
12,NICE인프라,완속,297,297,2025-01-21
13,SK렌터카,급속,350,350,2024-11-01
14,SK렌터카,완속,310,310,2024-11-01
15,SK에너지,급속,347.2,450.0,2024-02-06
16,SK에너지,완속,286,286,2024-02-06
17,SK일렉링크,급속,430,590.0,2025-07-15
18,SK일렉링크,완속,320,590.0,2025-07-15
19,광성계측기,급속,260,324.4,2024-10-21
20,광성계측기,완속,300,347.2,2024-10-21
21,그리드위즈,급속,320,450,2024-10-21
22,그리드위즈,완속,249,450,2024-10-21
23,그린전력,급속,347.2,347.2,2024-09-20
24,그린전력,완속,324.4,324.4,2024-09-20
25,넥씽,급속,350,400,2025-01-02
26,넥씽,완속,300,400,2025-01-02
27,농협경제지주 신재생에너지센터,급속,230,280,2024-10-21
28,농협경제지주 신재생에너지센터,완속,186,236,2024-10-21
29,뉴텍솔루션,급속,280,440,2024-10-21
30,뉴텍솔루션,완속,270,370,2024-10-21
31,대성물류건설,완속,250,500,2025-07-07
32,두루스코이브이,급속,340,400,2024-04-22
33,두루스코이브이,완속,250,350,2024-04-22
34,딜라이브,완속,279,324,2025-02-17
35,레드이엔지,급속,400,500,2025-02-03
36,레드이엔지,완속,260,400,2025-02-03
37,리셀파워,급속,320,420,2025-07-15
38,리셀파워,완속,250,350,2025-07-15
39,매니지온,급속,324.4,440,2024-10-21
40,매니지온,완속,230,440,2024-10-21
41,메가볼트,급속,330,400,2025-02-06
42,메가볼트,완속,290,400,2025-02-06
43,보타리에너지,급속,324.4,324.4,2023-11-16
44,보타리에너지,완속,286.7,286.7,2023-11-16
45,브라이트에너지파트너스,급속,320,550,2025-01-17
46,브라이트에너지파트너스,완속,250,0,2025-01-17
47,서울시,급속,324.4,324.4,2024-10-21
48,서울시,완속,324.4,324.4,2024-10-21
49,서울씨엔지,급속,347.2,450,2025-04-10
50,서울씨엔지,완속,278,450,2025-04-10
51,선광시스템,급속,347.2,347.2,2024-10-21
52,선광시스템,완속,324.4,324.4,2024-10-21
53,성민기업,급속,325,460,2025-02-17
54,성민기업,완속,280,440,2025-02-17
55,소프트베리,급속,347.2,347.2,2024-10-21
56,소프트베리,완속,260,324.4,2024-10-21
57,스타코프,급속,340,450,2025-06-23
58,스타코프,완속,230,370,2025-06-23
59,신세계아이앤씨,급속,324,455,2024-12-10
60,신세계아이앤씨,완속,269,455,2024-12-10
61,씨어스,급속,348,348,2023-11-15
62,씨어스,완속,324,324,2023-11-15
63,씨에스테크놀로지,급속,347.2,430,2024-10-21
64,씨에스테크놀로지,완속,250,430,2024-10-21
65,아론,완속,290,290,2025-06-04
66,아마노코리아,급속,340,440,2023-11-15
67,아마노코리아,완속,276,440,2023-11-15
68,아우토크립트,급속,320,347.2,2025-07-17
69,아이마켓코리아,급속,324.4,347.2,2023-11-16
70,아이마켓코리아,완속,240,240,2023-11-16
71,아이온커뮤니케이션즈,완속,295,360,2025-06-18
72,아이파킹,급속,345,450,2025-07-01
73,아이파킹,완속,285,400,2025-07-01
74,에버온,급속,324.4,380,2025-03-14
75,에버온,완속,296,380,2025-03-14
76,에스에스기전,급속,300,400,2024-01-29
77,에스에스기전,완속,280,400,2024-01-29
78,에스이랩,완속,230,340,2025-02-04
79,엔비플러스,급속,347.2,347.2,2024-10-21
80,엔비플러스,완속,324.4,324.4,2024-10-21
81,엘쓰리일렉트릭파워,급속,350,450,2024-02-14
82,엘쓰리일렉트릭파워,완속,269,450,2024-02-14
83,온스테이션,급속,340,380,2025-05-12
84,온스테이션,완속,295,360,2025-05-12
85,유니이브이,완속,234,324.4,2024-01-31
86,이브이루씨,급속,350,450,2025-07-03
87,이브이루씨,완속,292,350,2025-07-03
88,이브이모드코리아,완속,260,260,2024-10-21
89,이브이시스,급속,380,500,2024-11-08
90,이브이시스,완속,250,500,2024-11-08
91,이브이파트너스,급속,347.2,400,2024-11-06
92,이브이파트너스,완속,324.4,340,2024-11-06
93,이앤에이치에너지,급속,324.4,350,2025-03-05
94,이앤에이치에너지,완속,245,350,2025-03-05
95,이엘일렉트릭,급속,320,480,2024-03-20
96,이엘일렉트릭,완속,260,480,2024-03-20
97,이지차저,급속,350,450,2025-05-09
98,이지차저,완속,289,450,2025-05-09
99,이카플러그,급속,347.2,440,2024-10-24
100,이카플러그,완속,324.4,440,2024-10-24
101,일렉트리,급속,347.2,347.2,2024-04-12
102,일렉트리,완속,324.4,324.4,2024-04-12
103,제주전기자동차서비스,급속,320,480,2023-11-16
104,제주전기자동차서비스,완속,280,480,2023-11-16
105,지에스커넥트,급속,324.4,347.2,2023-11-16
106,지에스커넥트,완속,227,347.2,2023-11-16
107,차밥스,급속,400,400,2025-01-07
108,차밥스,완속,280,324.4,2025-01-07
109,차지인,급속,312.5,450.0,2023-11-16
110,차지인,완속,292.0,450.0,2023-11-16
111,채비,급속,385,500,2023-11-16
112,채비,완속,250,500,2023-11-16
113,쿨사인,급속,347.2,347.2,2024-05-10
114,쿨사인,완속,324.4,324.4,2024-05-10
115,크로커스,급속,330,380,2024-04-12
116,크로커스,완속,242,360,2024-04-12
117,클린일렉스,급속,308.2,403.2,2023-11-16
118,클린일렉스,완속,243.2,308.2,2023-11-16
119,타디스테크놀로지,급속,323,430,2023-11-16
120,타디스테크놀로지,완속,242.1,430,2023-11-16
121,투이스이브이씨,급속,300,400,2023-11-16
122,투이스이브이씨,완속,280,400,2023-11-16
123,파워큐브,급속,344.4,344.4,2025-02-17
124,파워큐브,완속,295,295,2025-02-17
125,플러그링크,급속,324.4,0,2025-02-26
126,플러그링크,완속,295,0,2025-02-26
127,피라인모터스,급속,300,320,2025-02-19
128,피라인모터스,완속,250,250,2025-02-19
129,한국EV충전서비스센터,급속,400,400,2024-10-21
130,한국EV충전서비스센터,완속,400,400,2024-10-21
131,한국전기차솔루션,급속,347.2,500,2025-06-20
132,한국전기차솔루션,완속,324.4,400,2025-06-20
133,한국전기차인프라기술,급속,347.2,380,2025-02-26
134,한국전기차인프라기술,완속,288,380,2025-02-26
135,한국전기차충전서비스,급속,371,500,2023-11-15
136,한국전기차충전서비스,완속,286.7,500,2023-11-15
137,한화솔루션,급속,320,480,2023-11-16
138,한화솔루션,완속,215,270,2023-11-16
139,해피차지,급속,347.2,430,2024-10-21
140,해피차지,완속,308,308,2024-10-21
141,현대엔지니어링,급속,368,500,2024-10-10
142,현대엔지니어링,완속,269,450,2024-10-10
143,홈앤서비스,완속,227,260,2023-11-15
144,휴맥스이브이,급속,320,480,2023-11-16
145,휴맥스이브이,완속,280,480,2023-11-16
